clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,PP,RB,FT,CV,SG,DD,DP,GS,GC,ano
267,Vasco,6,Nulo,1,gol,Sidão,70222,27,0,1.03,6,3.74,0,3.74,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,8,NA,8,NA,2019
263,Botafogo,5,Contundido,5,ata,Rodrigo Pimpão,68901,27,0,0.65,19,1.84,0,1.84,3,6,28,6,9,6,NA,3,40,NA,13,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,Marllon,70666,27,0.5,3.53,3,4.68,-0.83,5.51,NA,1,2,NA,2,8,NA,NA,5,NA,3,NA,NA,1,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Alan Santos,70132,27,0,0.47,4,2.8,0,2.8,NA,NA,5,NA,1,3,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,5,ata,Eduardo Sasha,70360,27,0.2,5.66,26,17.14,-1.29,18.43,1,1,16,12,19,23,10,5,44,NA,27,2,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,1,gol,Tiago Volpi,72018,27,5,4.99,26,11.76,0.82,10.94,NA,NA,NA,NA,NA,8,NA,NA,21,NA,NA,NA,NA,11,37,NA,17,NA,2019
265,Bahia,7,Provável,2,lat,Giovanni,72097,27,2.1,3.63,9,5.86,-0.63,6.49,NA,1,7,NA,1,2,NA,NA,17,NA,11,NA,NA,5,NA,NA,NA,NA,2019
277,Santos,7,Provável,6,tec,Jorge Sampaoli,70800,27,0.78,4.42,27,12.43,-0.44,12.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Dudu,68920,27,1.7,5.86,20,18.2,-0.87,19.07,3,3,17,18,20,78,6,5,62,NA,9,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Diogo Barbosa,70916,27,4.4,5.67,19,14.19,-0.4,14.59,1,2,25,3,4,17,NA,1,24,NA,51,NA,NA,7,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,6,tec,Fábio Carille,70696,27,1.65,4.03,25,11.44,-0.07,11.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,5,ata,Diego Souza,68911,27,2.2,2.52,24,6.18,0.2,5.9799999999999995,1,3,27,10,10,41,5,9,44,NA,6,1,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,5,ata,Joao Rojas,70784,27,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,2,lat,Danilo Avelar,72142,27,-0.6,4.7,17,8.03,-0.11,8.139999999999999,NA,4,24,6,2,25,1,1,34,NA,24,NA,NA,9,NA,NA,NA,NA,2019
